Reviews;Keyphrases
Impressive for the price. These are mass produced, user assembled shelves. The finished shelf is surprisingly good looking with clean lines and a nice finish. Assembly is pretty easy and the elements fit very well. ;Finished shelf looks good - Positive, clean lines - Positive, nice finish - Positive, assembly is easy - Positive, elements fit well - Positive.
Love it. Exactly what I wanted. Looks great and easy to assemble. ;Looks great - Positive, easy to assemble - Positive.
Easy to assemble. Modern sleek look.. Wish the back panel was more stable and secure. ;Easy to assemble - Positive, modern sleek look - Positive, back panel instability - Negative.
Love it!! . I love this product! It does exactly what I need it to do! ;Product does what I need - Positive.
Annoying af. It took me almost 2 hours or more to try to get this to line up or to even get the door on. These are the WORST directions ever. Ended up throwing it out my back door and cracked into peices fuck this box;Horrible directions - negative, time consuming assembly - negative, broken product - negative.
"It fits perfectly under my windows when placed horizontally. I needed a low bookcase to place under my living room windows to organize books, handwork, and various ""stuff"" in our small apartment to eliminate clutter.  Placed horizontally with no additional frame or legs it fits perfectly.  I have room to display houseplants on the top.   I have four Knipsa storage baskets placed on the bottom four cubby holes which work great and look very nice.    Our furniture is  mostly in traditional wood tones but the white looks clean and bright under the windows which have white plantation shutters and woodwork.  All in all I find this purchase a good value for our purposes, and it was easy to assemble.   Our";Fits under windows - Positive, Placed horizontally - Positive, Eliminates clutter - Positive, Good value - Positive, Easy to assemble - Positive.
Does not go together AT ALL. The screws didn't fit into the legs;Does not go together - Negative.
Perfect sewing table!. I am using it as a sewing table. Instead of having the shelf upright, I laid it on its side and I have an L-shaped sewing table. The table is study enough for sewing and I have canvas storage bins underneath to hide materials.;Sewing table - Positive, Study -Positive, L-shaped - neutral, canvas storage bins - Positive.
Great product. I love this line of product I have been able to setup my art studio with this cube system and I continue to find ways to add more for storage and functionality.;Great product - Positive, Art studio setup - Positive, cube system - Positive, continue to find ways to add more - Positive.
Love Kallax. I have about 10+ in my house, they are in my craft room mainly, they can hold so much! Love them;Love Kallax - Positive, have many in house - Neutral, can hold much - Positive.
Perfect Craftroom Storage. These Kallax pieces are beautiful, easy to assemble, sturdy enough to hold a great deal of paper and perfect for organizing!;Beautiful - Positive, easy to assemble - Positive, sturdy - Positive, holds a great deal of paper - Positive, perfect for organizing - Positive.
Awesome. This holds my 12x12 scrapbook papers! I love it! I purchased 4, wish I had purchased more! IKEA is 4 hours away, so I will have to wait to buy more!;Holds 12x12 papers - Positive, love it - Positive, purchased 4 - Positive, wish more - Positive.
Perfect Craftroom Storage. These Kallax pieces are sturdy, easy to assemble and beautiful. I have never been disappointed!;Sturdy - Positive, Easy to assemble - Positive, Beautiful - Positive, Never disappointed - Positive.
Nice addition to shelves. My wife loves that I got this for her shelves. It’s a nice touch.   Overall, assembly went smoothly.;Nice addition - Positive, Smooth assembly - Positive.
Perfect for 12”vinyl albums. If you want a great shelf to store your albums, look no further. These are the best.;Ideal for 12'' vinyl - Positive, greatest shelf - Positive.
Well made. I love this. Turned it long and used as tv stand;Well made - Positive, Turned into TV stand - neutral.
Kallak shelves are excellent.. We have 5 of these shelving units in our house.  My wife uses them for her art supplies.  They were delivered to my house and brought upstairs.  Assembly is easy.  Great units.;Excellent shelving units - Positive, 5 units in the house - neutral, ease of assembly - Positive, delivered without issue - neutral, great units - Positive.
"some amateur design, but cheaper than most. Not IKEA's finest assembly procedure or fit+finish, but well priced for the appearance of the final product.  * Super-annoying adhesive on stickers on the frame has to be scrubbed off. No clean peel... * Mis-drilled side piece meant either skipping one set of screws or skipping the stiffening plates (I did the former) * No wall attach kit despite recommendation to attach to wall. Note you'll need less common 2"" screws if you're using anchors. * Poor fit: gaps between shelves and frame. * Wooden shelves don't have pre-drilled holes and the laminate is too tough for the tiny wood screws. You're going to ALSO need a drill to pre-drill (not in instructions).  Looks nice enough when done but twice as annoying as expected. Feels like some designer's first project and he doesn't have his own place so never assembles furniture.  I wouldn't buy another. ";Annoying adhesive - Negative, mis-drilled side piece - Negative, no wall attach kit - Negative, poor fit - Negative.
Worst Ikea product ever. I understand that it is chip so I anticipated some issues with qualities. But assembling the product is a nightmare because it requires some tricks to attach the last wall to complete the shelf. I gave up and carefully used a resin-head hummer to finish the ugly gaps. At the end I smashed it leaving some cracks on the outside. Goes to garbage.;Worst Ikea product - Negative, anticipated issues - Neutral, assembling nightmare - Negative, required tricks - Negative, ugly gaps - Negative, smashed - Negative.
Not stable . Put together the unit but it still seems loose? Also mounting screws were not included ;Not stable - Negative, loose - Negative, mounting screws not included - Negative.
Excellent room divider. Using this piece as a room divider/display case in front of my linnmon desk.;Room divider - Positive, display case - Positive.
Good Shelves. The shelves work well, accessories like cubes, doors and drawers make the unit more versatile.   Finding one was a different story, had to watch the website like a hawk.;"Keyphrase 1 - Shelves work well - Positive
Keyphrase 2 - Accessories make unit more versatile - Positive
Keyphrase 3 - Difficult to find - Neutral"
Perfect for my purpose.. Simple and straight forward assembly. Sturdy and nice quality. Went back and bought a second one.;Easy assembly - Positive, sturdy - Positive, nice quality - Positive, bought another one - Positive.
Works great. This wine rack works prefect. Actually thing of buying a second. Would be great if Ikea could make a wine grass holder for the Kallax cube.;Great wine rack - Positive, perfect - Positive, consider buying another - Positive, possibility of a wine grass holder - neutral.
Sturdy, sleak, and stylish. This. Sturdy, sleak, and stylish. This is a great buy and provided great storage in my house.;Sturdy - Positive, sleak - Positive, stylish - Positive, great buy - Positive.
Great shelving unit. I love this unit. Great color. Took forever to order due to the leg base being out stock. Well worth the wait!;Great shelving unit - Positive, Love it - Positive, Great color - Positive, Long wait for order - Neutral.
Salon Furniture. Needed a shelf that worked for storage and a usable top space. Has options to make closed cabinets and shelves to hold retail. Great product, made well and sustainably. Also a quarter of the price of actual salon furniture.;Storage and usable top space - Positive, options for closed cabinets and shelves - Positive, great product - Positive, well-made - Positive, sustainable production - Positive, affordable - Positive.
Strong. Strong, sturdy, easy to build, looks good.;Strong - Positive, sturdy - Positive, easy to build - Positive, looks good - Positive.
Size. A little bit too small...;Size - negative.
I purchased this to store. I purchased this to store my teaching materials in my home office. It’s perfect for what I needed it for. My husband was able to put it together without difficulty or complaint. I have since purchased another for my home office and two more to hold books. I’m using these to replace an old shelving unit. They’re sturdy, nice looking, & easy to move around! These are great!;Stores teaching materials - Positive, easy to assemble - Positive, replaced old shelving unit - Positive, sturdy - Positive, nice looking - Positive, easy to move around - Positive.
Perfect Shelving for Craft Room. Bought 3 of these, stacked them and anchored them and they work great in my wife's craft room. They are very sturdy, not too hard to put together either.;Work great in craft room - Positive, bought 3 - Neutral, sturdy - Positive, not too hard to put together - Positive.
Great shelves!. The website picture is a little misleading, I thought I was getting a triple unit not a double and a single. But either way, I’m happy with my shelves, they’re definitely more sturdy than my old plant shelves, and more aesthetically pleasing!;Satisfied with shelves - Positive, website picture misleading - Neutral, sturdier than old shelves - Positive, more aesthetically pleasing - Positive.
Great Vinyl Album Storage. This cabinet is perfect for storing my vinly album collection. The cabinet looks great in the media room.;Perfect cabinet - Positive, vinyl album collection storage - Positive, looks great - Positive.
Love It. I have a small room so organization is key to me. This was easy to assemble, it doesn't take up a lot of space, and it's great for organizing.;Small space - Neutral, easy assembly - Positive, great for organization - Positive.
Instructions clearly not written to go together- look at BOTH!!. Love the unit, but I’m extremely irritated that the instructions for the shelving unit say nothing about the underframe requiring four of the larger bolts from the unit to come out so the brackets can be installed. That information is in the instructions for the underframe. I have problems with dexterity and am none too happy about doing the work of getting those bolts in securely just to turn around and have to do it again. Also would have appreciated one of the screwdrivers with 90 degree bends for getting the underframe screws in. Otherwise, lovely storage unit. Tip over hardware is a lot better than the old plastic kits and the wide variety of inserts add more functionality.;Love the unit - Positive, instructions not clear - Negative, requiring removal of larger bolts - Neutral, assembly challenges - Negative, need 90 degree screwdriver - Neutral, tip over hardware - Positive, wide variety of inserts - Positive.
Cute & Functional. I love my shelf so much. My uncle painted the frame part pink to match my kitchen decor. I use it to free up space on my countertops. I put my little white retro style microwave on it, my pink toaster and pink bubblegum machine filled with chocolates. I also put 2 pans (pink of course) on the bottom shelf. I’m very pleased with my purchase.;Functional shelf - Positive, pink frame - Positive, matched kitchen decor - Positive, freed up counter space - Positive, small appliances - Positive, pans on bottom shelf - Positive.
Great. Provided just the storage needed in my office.;Provided storage needed - Positive.
Kallax Unit is perfect. I bough a large Kallax and it is perfect for storage in my closet under the stairs.;Large Kallax - Neutral, perfect for storage - Positive.
It serves its purpose.. modern. It serves its purpose.. modern style furniture in the office or at home.;Modern style - Neutral, serves its purpose - neutral.
Great addition to my living room. I bought 2 of these units and put them side by side for a base for the tv. Very easy to put together. Added a lot of depth to my living room!;Added depth to living room - positive, easy to put together - positive, bought 2 units - neutral.
Difficult instructions. The instructions are difficult to understand. The door doesn’t close very well. Flimsy;Difficult instructions - Negative, door doesn't close well - Negative, flimsy - Negative.
Superior cubicles!. So much nicer than any others I’ve ever had. Easy to assemble! Great hardware and instructions. Love the way they are attached to the wall! Highly recommended.;Superior cubicles - Positive, Easy to assemble - Positive, Great hardware and instructions - Positive, Attached to wall - Positive, Highly recommended - Positive.
Great little shelf. I love it. I just wish it had a back but that's my issue. Item is solid and well made and did just what I needed.;Great little shelf - Positive, Solid and well made - Positive, wish it had a back - Negative.
Study shelving. I used two of these stacked with a two opening unit on top to create a vinyl & CD storage in my music room. The shelves are very sturdy and fit vinyl perfectly. The four drawers hold lots of CDs.;Shelves for vinyl & CD storage - Neutral, sturdy shelves - Positive, fit vinyl perfectly - Positive, hold lots of CDs - Positive.
Beautiful, functional, and affordable . Easy to assemble. The additional drawer or cabinet door cubbie inserts (purchased separately) make this unit customizable.;Beautiful - Positive, functional - Positive, affordable - Positive, easy to assemble - Positive, customizable - Positive.
These were not as great. These were not as great as I wanted them to be. As with the drawers, which I love. These also have to be screwed into the shelves and are permanent;Not as great - Negative, drawers loved - Positive, have to be screwed in - Neutral.
These bookcases look great in. These bookcases look great in my apartment. I needed more space for books and knickknacks and these are perfect. I had a little help with building them. Thy were affordable and really do the job.;Look great in apartment - Positive, more space for books and knickknacks - Positive, affordable - Positive, had help with building - Neutral, really do the job - Positive.
Easy to put together but flimsy. I ended up returning because I purchased the tall version and needed the short. I’m an IKEA evangelist but I’d say this is probably twice as expensive as it should be. It’s easy to put together but seems very flimsy. I didn’t end up buying the shorter one.;Easy to assemble - Positive, Flimsy - Negative, twice the cost - Negative.
Love. Love these cubby holes to help keep things organized;Love - Positive, cubby holes - Neutral, helps keep things organized - Positive.
Love it!. I made this desk in 45 min. It was extremely easy to build with the instructions. Just make sure you don’t miss a step! And I was able to do it all by myself. Had it built before my husband got home 🤣 and I loved the packaging, it was minimal but efficient. So we didn’t have boxes for days!;Easy build - Positive, 45 min assembly - Positive, clear instructions - Positive, minimal packaging - Positive.
Poorly-aligned holes in uprights made for a miserable assembly experience.. You'd think that drilling holes down the center of a strip of wood would be relatively easy for a manufacturer to do well -- but this shelving unit shows that IKEA is not up to the task. The holes in the uprights were sometimes centered and sometimes not, and in one case this required a bit of home woodworking (using far more in the way of tools than came in the boxes) to correct. If the price were half of what it is, I might not gripe too much -- but for this price, it's completely inexcusable for IKEA's factory to be so incredibly sloppy. It's also important to note that these shelves look to be solid slabs in the product photos, but are actually made of thin sheets of metal wrapped into square tubes at the front and back -- this means that they sag when weight is put anywhere other than the ends, front, or back of the shelves.;Miserable assembly experience - negative, poorly-aligned holes - negative, home woodworking required - neutral, thin metal shelves - neutral, IKEA not up to task - negative.
Easy assembly and looks great!. Easy assembly and looks great!;Easy assembly - Positive, Looks great - Positive.
Love it - sturdy. I love the Kallax because it is so simple and incredibly sturdy.;Sturdy - Positive.
Love this!. I love the quality of this. It was relatively easy to assemble and it’s solid. Great value and definitely recommend. The only thing that I might like to see would be an option for a back to enclose the compartments to use as a cubby system instead of shelves. I like these better than other bookshelves because they don’t wobble when put together.;Love the quality - Positive, easy to assemble - Positive, solid - Positive, good value - Positive, would recommend - Positive, cubby system - Positive, no wobbling - Positive.
Kallax. I've had all sizes of the Kallax storage units.  I've combined them, in all sizes, like a puzzle to fill a whole wall.  Be sure to tether if you do that.  They fit most decorative styles.  ; Had all sizes - neutral, fits decorative styles - neutral, assembled wall - Positive, tether if combined - Positive.
Beautiful. This might be my favorite piece in my office. I’ve used the bottom cubes for storage bins, the top cubes for display cases, and the top shelf for books and plants. It is being used as a divider to section off a large room and it’s the perfect piece for the space.;Favorite piece - Positive, used for storage and display - Neutral, section off large room - Positive, perfect for space - Positive.
Great Storage piece . This shelf is the perfect storage piece and looks great in my space.;Great storage piece - Positive, looks good - Positive.
The unit is working well. The unit is working well in my kitchen. Assembly was okay and it looks good in the location I chose for it. I wish the shelves had the option to be adjustable, but that's not a huge deal.;Working well - Positive, assembly was okay - Neutral, looks good - Positive, wish adjustable shelves - Negative.
Baggebo. Looks amazing in my bedroom .;Looks amazing - Positive.
A Staple!. I got 2 of these shelves and adore them. They're stable, sturdy, and easy to put together by yourself. I would also imagine they're easy to paint over for a different look. I would buy another!  One tip for assembly is to just lightly hand screw everything in before tightening them all the way in the final step! Otherwise, sometimes the holes don't align properly :);Adore shelves - Positive, Stable - Positive, Sturdy - Positive, Easy to put together - Positive, Easy to paint over - Neutral, Lightly hand screw - Neutral, Buy another - Positive, Align properly tip - Neutral.
Cute but not easy!. These cubes are very cute and practical but the fact that Ikea sells them as easy to assemble baffles the mind. I have done several of these at this point and there hasn't been a single one that hasn't required some light hammering (which risks ruining the board) or basically me just accepting that one of the sides will be slightly off-kilter. Every single product I have bought from Ikea that required actual tools to assemble (including a kitchen cabinet!) has been easier to assemble in comparison/proportionately speaking. Like I said, they are cute though, and a practical solution for some awkward storage needs around the house, so it's a good bang for the buck as long as you take the video on the website with a grain of salt.;Cute design - Positive, not easy to assemble - Negative, practical - Positive, slight assembly discrepancies - Negative, good value for the price - Positive.
Record storage. Works great for what we bought it for;Record storage - neutral, works great - Positive.
Nifty accessory. This works beautifully in the Kallax. It is a lot more sturdy and natural looking when it’s installed in the unit. It looks like it was built that way — almost seamless so to speak.;Installed in the unit - Positive, more sturdy - Positive, natural looking - Positive, almost seamless - Positive.
an organizational workhorse. the Kallax holds books, papers, artifacts...the list is too long to mention. It is at once classic and contemporary, the shelves are strong and don't sag, no matter how full and heavy. It can be infinitely re-imagined. It has a substantial presence but not heavy looking, always stylish with clean lines that never go out of style.;Organizational workhorse - Positive, holds various items - Positive, classic and contemporary - Positive, strong shelves - Positive, doesn't sag - Positive, can be re-imagined - Positive, substantial presence - Neutral, never goes out of style - Neutral, clean lines - Neutral.
Easy assembly. This was perfect for my need: a closet shelf for towels and misc stuff. I did not need to secure it to wall. Sparks joy!;Closet shelf - neutral, Easy assembly - Positive, joyful - positive.
Great use of space. . Excellent storage.;Great use of space - Positive, Excellent storage - Positive.
Easy assembly and great storage . I have Purchased kallax multiple times since IKEA came to Canton. ;Easy assembly - Positive, great storage - Positive, purchased multiple times - Neutral.
awesome product. I  love the ease of putting it together, it looks cool too and I would say Awesome product in a very reasonable price. Now I have almost 5 of these . Thank you;Ease of assembly - Positive, looks cool - Positive, reasonable price - Positive, almost 5 purchased - Neutral.
Baggebo shelf. My teen loves this shelf! We have had Kallax for storage in his room a long time, but he has been asking for shelving to display smaller items. I saw the Baggebo in store and knew he would love it. He did and put two together himself and arranged his favorite things just the way he wanted. This was a perfect solution at a price we could afford.;Teen loves shelf - Positive, perfect solution - Positive, within budget - Positive, easy to assemble - Positive.
Versatile . I love these Kallax furniture pieces, they’re super versatile, you can use the as a book case, as drawers for your clothes, as a storage organizer, as a display, or even a TV stand! We have five and rotate them for different uses!;Versatile - Positive.
Perfect for vinyl record storage. Must mount it though. This is perfect for my album collection. I used metal wall anchors from the hardware store to mount all four corners to the wall. I have about 900 vinyl albums and this holds them perfectly. As always follow the directions. Assembling on a carpet using a level are important. I also added wood glue to all the dowels so they stay solid. ;Vinyl record storage - Positive, must be mounted - Neutural, holds 900 albums - Positive, adds wooden glue for stability - Positive.
Made a cute little table . Added the legs and it’s a cute little side table in my son’s room. Perfect height for his low chair. He’s 8. ;Little table - Positive, Cute - Positive, Perfect height - Positive, Son's room - Neutral.
Very hard to put together . There are a lot of defective problems. It's very hard to put together.;Hard to put together - Negative, defective - Negative.
Perfect for my crafting space. Perfect for my crafting space;Perfect crafting space - Positive.
Just what I was looking for. Purchased to create a closet island for my newly renovated walk-in closet.;Purchased for closet island - neutral, newly renovated walk-in closet - neutral.
Great Kallax Storage. Great Coloring, easy to assemble and gives wonderful storage!;Great coloring - neutral, easy to assemble - Positive, wonderful storage - Positive.
Bought two. Love this. I bought two of them, turned them on their side and stacked them.  Looks great, really sturdy.;Bought two - neutral, Looks great - Positive, really sturdy - Positive.
Love it!. I love this stand for my Kallax shelf. It lifts it off of the floor and makes it look so much better. It’s very sturdy and easy to assemble. I going to buy more for my other rooms.;Lifts shelf off floor - Positive, looks better - Positive, sturdy - Positive, easy to assemble - Positive, buy more - Positive.
Perfect for my Scrapbooking organizing. I love the space I have with the larger cubbies! So many different ways to organize and so many options! I’m very pleased with this unit!;Scrapbooking organizer - Positive, larger cubbies - Positive, many ways to organize - Neutral, many options - Positive, pleased with unit - Positive.
Excellent small storage space. Great small piece of furniture on wheels.  Easy to assemble.  In one room it’s a plant stand with space for indoor gardening gadgets.  In another it’s a night table.  Love it so much, I bought a second one. ;Small storage space - Positive, wheels - Positive, easy to assemble - Positive, plant stand - Positive, night table - Positive, love it - Positive, bought a second one - Positive.
Great and Versatile Bookshelf . Bought these for my home office and they look great.  They were easy to put together and because of their size I can move them around as needed. ;Great bookshelf - Positive, look great - Positive, easy to assemble - Positive, versatile - Positive, can be moved - Positive.
Doesn’t fit the kallax shelf. I purchased it thinking it would fit in the shelf like the reviews and description said but it don’t. It too big for the shelf space and annoying trying to fit. Easy to put together but useless because I can’t fit it in the shelf just sitting in my home collecting dust;Doesn't fit in shelf - Negative, Easy to put together - Positive, collects dust - Negative.
Huge Disappointment!!! Doesn't fit- too large!!. Very disappointed with these - they don't fit.  I picked these up with some other items in Renton yesterday - a 110 mile drive from me. Got home with them and they don't fit - they are too large to insert into the cubicle.  I have 2 different Kallax units - one is a 20 cubicle unit, the other an 8 cubicle unit - these will not fit into any cubicle in either of the units!!!  According to the sticker on these inserts they were manufactured (?) in Poland 2021-11-08. I saw another reviewer say that theirs were too big too. What happened to quality control??? I don't make a drive that far on a regular basis so, I'm stuck with the useless things since I won't pay shipping to return them.  Shouldn't have happened - very disappointed.;Doesn't fit - Negative, too large - Negative, disappointed - Negative, not manufactured to specification - Neutral, quality control issue - Negative.
Great Product, But Disappointed. This shelving unit is absolutely beautiful and did not seem difficult to assemble - I hired a worker from Task Rabbit so I don't know for sure. However, I was so disappointed to find out that this particular item is just two units, one double width and a single width, put very close together. It is not one big unit. With so many combinations you can make from these units, I have no idea why this is the only one that is sold together, it's very misleading. I also had mine delivered so didn't realize until I had them in my home. I decided to return the single width unit and buy another double width one.;Absolutely beautiful - Positive, difficult assembly unclear - Neutral, two connected units - Negative, misleading description - Negative.
elegant and sturdy storage solution. I already had three of the single shelves, and when I bought my house I added these additional pieces to make a full wall for books. It almost looks built in, and it's a gorgeous focal point for my books and records.;Full wall storage - Positive, elegant design - Positive, sturdy - Positive, looks built-in - Positive, focal point - Positive.
Love the low profile. I wouldn't have thought from the description that these metal shelves would have such a low profile, but after seeing them at a friends house I was sold.  They are solid and the glass definitely makes them easy on the eye. Would buy again!;Low profile design - Positive, Solid build - Positive, Glass facade - Positive, Sighted at friend's house - neutral, Would buy again - Positive.
Love It. We bought theFajallbo shelving unit. We love it! It’s stylish and sturdy.;Bought Fajallbo shelving unit - neutral, stylish - Positive, sturdy - Positive.
Gift to Myself . I love it!I can put books and my fave things in it.;Love it - Positive, put books and favorite things - neutral.
Perfect storage. I have two of these, one in my classroom, the other in my closet. The Drona squares fit perfectly, but so do baskets and other storage as needed.;Perfect storage - Positive, Fits Drona squares - Positive, Versatile with different storage - Positive.
Nice product. I would love to see them add a way to secure them to each other on the sides but over all it looks great.;Nice product - Positive, looks great - Positive, would like additional security feature - Neutral.
Quality and design. This book case is well made and easy to assemble. It also looks fantastic and elevates the space it's in. Highly recommended.;Well made bookcase - Positive, Easy to assemble - Positive, Looks fantastic - Positive, Elevates space - Positive, Highly recommended - Positive.
Beautiful Display Shelf. This shelf is perfect for our little bodycare boutique. Great price for the quality. Assembly is a little tricky if your not use to putting furniture together. OVERALL...love it! Thank you IKEA!;Perfect for boutique - Positive, great price for quality - Positive, tricky assembly - neutral, love it - Positive.
Kallax. Love this unit, in fact I have several of them. If you have children, please anchor them. They are heavy and easy to put together.;Love this unit - Positive, several owned - Positive, heavy - Positive, easy assembly - Positive, anchoring advised - Neutral.
Entryway storage . Bought this to store shoes and items at the front door entryway. Very functional and stylish. Hubby put it together quickly. ;Store shoes and items - neutral, functional - positive, stylish - positive, quickly put together - positive.
Wonderful storage. This is a wonderful piece of furniture for any sewing studio or craft room.   I use my Kallax units for storing fabrics wrapped around comic book boards. It’s deep enough for two rows of fabric in each cubby. I use the dröna fabric baskets in my Kallax to store quilting kits and fabric stabilizers.   I’d highly recommend the Kallax in any size!;Wonderful piece of furniture - Positive, suitable for sewing studio or craft room - Neutral, deep cubby - Positive, stores fabric wrapped on comic book boards - Positive, uses dröna fabric baskets for quilting kits - Positive, highly recommends - Positive.
Great shelf for books & small TV. This works perfectly for books, baskets, and a smaller TV on the top shelf in a bedroom. Was easy to assemble.;Perfect for books - Positive, holds smaller TV - Positive, Baskets on shelves - Positive, easy assembly - Positive.
Does the job . Got this for a study workstation, and it’s perfect. Fits the space, is pretty sturdy, and looks good.;Fits space - Positive, sturdy - Positive, looks good - Positive.
Easy to assemble . Very easy to assemble good quality!;Easy to assemble - Positive, good quality - Positive.
Looks great with Havsta glass door cabinet. Great addition to the cabinet. We have 4 of these (using 2 on each side of glass door cabinet. Nice sturdy construction. Made with solid wood - not compressed particle board. All together with cabinet and 4 of these towers fills 12 foot wall great!;Looks great with Havsta cabinet - Positive, sturdy construction - Positive, made with solid wood - Positive, 12 foot wall filled - Positive.
Perfection. I waited MONTHS for Vittsjo to come back in stock, and I am so glad I didn't give up and purchase something elsewhere. To get a similar look elsewhere will cost ~$300. This shelf unit is GORGEOUS – modern, clean lines, simple, well-constructed, sturdy. I do wish the holes in the top and bottom wood slabs were pre-drilled, but it wasn't too difficult to do it ourselves. We also didn't receive enough padding stickers for the glass, so we improvised. I can't say enough good things about this unit otherwise.;Months-long waiting - Negative, Gorgeous design - Positive, modern - Positive, clean lines - Positive, simple - Positive, well-constructed - Positive, sturdy - Positive, improvised solution for padding - Neutral.
Awesome shelves. We use these for plants, books, games and display items. They’re so versatile and surprisingly sturdy. Love how the light can flow down through the shelves;Versatile shelves - Positive, sturdy - Positive, used for various items - Neutral, allows light to flow - Positive.
Great but.... The shelf is great. Bought it to use for bathroom storage and it fits perfectly. I took off one star because it was way to hard to assemble. Would have been great if Ikea had made the screws for adult sized hands!;Great shelf - Positive, fits perfectly - Positive, assembly difficult - Negative, screws for adult hands - Neutral.
great shelving units. I saw these in a photo and they looked like what I wanted. I ordered and could not be happier with them. They are sturdy, well built, look great and most of all very easy to assemble.;Looked like wanted - Positive, ordered and happy - Positive, sturdy - Positive, well built - Positive, look great - Positive, easy to assemble - Positive.
Glossy and great. The glossy white Kallax is one of those IKEA pieces that is such a great price point for how modern it feels. The 4 square version was easy to put together solo. And I paired it next to a larger one I bought years ago. This is a great extension that was in budget and looks seamless. Highly rec. and go glossy — it’s the best of all the colors;Glossy white Kallax - positive, modern feel - positive, easy to put together - positive, great price point - positive, recommendation - positive.
Easy to assemble. And hold. Easy to assemble. And hold more than I expected. Turned an 11 year old shelf into something new with the drawers.  Please note - you do have to screw in the insert, so they are permanent.;Easy to assemble - Positive, holds more than expected - Positive, new with drawers - Positive, permanent attachment - Neutral.
Love it!. Clean lines, great configuration for my purposes;Clean lines - Positive, great configuration - Positive.
The Best for my Craft Room. I put this off for years but finally with an update of flooring was forced to organize my craft room.  I chose the Kallex to be the main form of storage and love the pieces I bought!  the 16 unit wall shelving piece plus the pieces to divide several of the areas for paper, and other supplies are perfect.  It was much quicker to install than I expected and now only after a couple of days, I realize how silly my procrastination actually was.  I should have done this years ago!!!  ;Organized craft room - Positive, chose Kallex - Positive, 16 unit wall shelving - Positive, divided areas - Positive, quick installation - Positive, procrastination regret -Negative.
