art_id,text
89442617,"Impressive for the price. These are mass produced, user assembled shelves. The finished shelf is surprisingly good looking with clean lines and a nice finish. Assembly is pretty easy and the elements fit very well. "
90562166,Easy to assemble. Modern sleek look.. Wish the back panel was more stable and secure. 
80275887,"It fits perfectly under my windows when placed horizontally. I needed a low bookcase to place under my living room windows to organize books, handwork, and various ""stuff"" in our small apartment to eliminate clutter.  Placed horizontally with no additional frame or legs it fits perfectly.  I have room to display houseplants on the top.   I have four Knipsa storage baskets placed on the bottom four cubby holes which work great and look very nice.    Our furniture is  mostly in traditional wood tones but the white looks clean and bright under the windows which have white plantation shutters and woodwork.  All in all I find this purchase a good value for our purposes, and it was easy to assemble.   Our"
29336356,Annoying af. It took me almost 2 hours or more to try to get this to line up or to even get the door on. These are the WORST directions ever. Ended up throwing it out my back door and cracked into peices fuck this box
00275848,"Love Kallax. I have about 10+ in my house, they are in my craft room mainly, they can hold so much! Love them"
50481172,Does not go together AT ALL. The screws didn't fit into the legs
49481658,"Perfect sewing table!. I am using it as a sewing table. Instead of having the shelf upright, I laid it on its side and I have an L-shaped sewing table. The table is study enough for sewing and I have canvas storage bins underneath to hide materials."
20275814,Great product. I love this line of product I have been able to setup my art studio with this cube system and I continue to find ways to add more for storage and functionality.
80275887,"Perfect Craftroom Storage. These Kallax pieces are beautiful, easy to assemble, sturdy enough to hold a great deal of paper and perfect for organizing!"
40423719,"Awesome. This holds my 12x12 scrapbook papers! I love it! I purchased 4, wish I had purchased more! IKEA is 4 hours away, so I will have to wait to buy more!"
00275848,"Perfect Craftroom Storage. These Kallax pieces are sturdy, easy to assemble and beautiful. I have never been disappointed!"
70286645,"Nice addition to shelves. My wife loves that I got this for her shelves. It’s a nice touch.   Overall, assembly went smoothly."
79278269,"Perfect for 12”vinyl albums. If you want a great shelf to store your albums, look no further. These are the best."
00324518,Well made. I love this. Turned it long and used as tv stand
50214678,"some amateur design, but cheaper than most. Not IKEA's finest assembly procedure or fit+finish, but well priced for the appearance of the final product.  * Super-annoying adhesive on stickers on the frame has to be scrubbed off. No clean peel... * Mis-drilled side piece meant either skipping one set of screws or skipping the stiffening plates (I did the former) * No wall attach kit despite recommendation to attach to wall. Note you'll need less common 2"" screws if you're using anchors. * Poor fit: gaps between shelves and frame. * Wooden shelves don't have pre-drilled holes and the laminate is too tough for the tiny wood screws. You're going to ALSO need a drill to pre-drill (not in instructions).  Looks nice enough when done but twice as annoying as expected. Feels like some designer's first project and he doesn't have his own place so never assembles furniture.  I wouldn't buy another. "
70301542,Kallak shelves are excellent.. We have 5 of these shelving units in our house.  My wife uses them for her art supplies.  They were delivered to my house and brought upstairs.  Assembly is easy.  Great units.
80556236,Worst Ikea product ever. I understand that it is chip so I anticipated some issues with qualities. But assembling the product is a nightmare because it requires some tricks to attach the last wall to complete the shelf. I gave up and carefully used a resin-head hummer to finish the ugly gaps. At the end I smashed it leaving some cracks on the outside. Goes to garbage.
79294542,Not stable . Put together the unit but it still seems loose? Also mounting screws were not included 
20275814,"Strong. Strong, sturdy, easy to build, looks good."
90428842,Size. A little bit too small...
20275814,"I purchased this to store. I purchased this to store my teaching materials in my home office. It’s perfect for what I needed it for. My husband was able to put it together without difficulty or complaint. I have since purchased another for my home office and two more to hold books. I’m using these to replace an old shelving unit. They’re sturdy, nice looking, & easy to move around! These are great!"
80275887,"Perfect Shelving for Craft Room. Bought 3 of these, stacked them and anchored them and they work great in my wife's craft room. They are very sturdy, not too hard to put together either."
59902658,"Great shelves!. The website picture is a little misleading, I thought I was getting a triple unit not a double and a single. But either way, I’m happy with my shelves, they’re definitely more sturdy than my old plant shelves, and more aesthetically pleasing!"
49442676,"Instructions clearly not written to go together- look at BOTH!!. Love the unit, but I’m extremely irritated that the instructions for the shelving unit say nothing about the underframe requiring four of the larger bolts from the unit to come out so the brackets can be installed. That information is in the instructions for the underframe. I have problems with dexterity and am none too happy about doing the work of getting those bolts in securely just to turn around and have to do it again. Also would have appreciated one of the screwdrivers with 90 degree bends for getting the underframe screws in. Otherwise, lovely storage unit. Tip over hardware is a lot better than the old plastic kits and the wide variety of inserts add more functionality."
80487813,"Cute & Functional. I love my shelf so much. My uncle painted the frame part pink to match my kitchen decor. I use it to free up space on my countertops. I put my little white retro style microwave on it, my pink toaster and pink bubblegum machine filled with chocolates. I also put 2 pans (pink of course) on the bottom shelf. I’m very pleased with my purchase."
20275885,Great. Provided just the storage needed in my office.
30275861,Kallax Unit is perfect. I bough a large Kallax and it is perfect for storage in my closet under the stairs.
20275885,It serves its purpose.. modern. It serves its purpose.. modern style furniture in the office or at home.
00415599,Great addition to my living room. I bought 2 of these units and put them side by side for a base for the tv. Very easy to put together. Added a lot of depth to my living room!
20278167,Difficult instructions. The instructions are difficult to understand. The door doesn’t close very well. Flimsy
10409932,Superior cubicles!. So much nicer than any others I’ve ever had. Easy to assemble! Great hardware and instructions. Love the way they are attached to the wall! Highly recommended.
60275812,Great little shelf. I love it. I just wish it had a back but that's my issue. Item is solid and well made and did just what I needed.
00415599,Excellent room divider. Using this piece as a room divider/display case in front of my linnmon desk.
79442694,"Good Shelves. The shelves work well, accessories like cubes, doors and drawers make the unit more versatile.   Finding one was a different story, had to watch the website like a hawk."
20275814,Perfect for my purpose.. Simple and straight forward assembly. Sturdy and nice quality. Went back and bought a second one.
80401292,Works great. This wine rack works prefect. Actually thing of buying a second. Would be great if Ikea could make a wine grass holder for the Kallax cube.
20275814,"Sturdy, sleak, and stylish. This. Sturdy, sleak, and stylish. This is a great buy and provided great storage in my house."
10324513,Great shelving unit. I love this unit. Great color. Took forever to order due to the leg base being out stock. Well worth the wait!
20275814,"Salon Furniture. Needed a shelf that worked for storage and a usable top space. Has options to make closed cabinets and shelves to hold retail. Great product, made well and sustainably. Also a quarter of the price of actual salon furniture."
79442694,Great Vinyl Album Storage. This cabinet is perfect for storing my vinly album collection. The cabinet looks great in the media room.
50481172,"Love It. I have a small room so organization is key to me. This was easy to assemble, it doesn't take up a lot of space, and it's great for organizing."
29442677,"Beautiful, functional, and affordable . Easy to assemble. The additional drawer or cabinet door cubbie inserts (purchased separately) make this unit customizable."
79278293,Study shelving. I used two of these stacked with a two opening unit on top to create a vinyl & CD storage in my music room. The shelves are very sturdy and fit vinyl perfectly. The four drawers hold lots of CDs.
60278170,"These were not as great. These were not as great as I wanted them to be. As with the drawers, which I love. These also have to be screwed into the shelves and are permanent"
10305741,These bookcases look great in. These bookcases look great in my apartment. I needed more space for books and knickknacks and these are perfect. I had a little help with building them. Thy were affordable and really do the job.
40275846,Love it - sturdy. I love the Kallax because it is so simple and incredibly sturdy.
80275887,Love this!. I love the quality of this. It was relatively easy to assemble and it’s solid. Great value and definitely recommend. The only thing that I might like to see would be an option for a back to enclose the compartments to use as a cubby system instead of shelves. I like these better than other bookshelves because they don’t wobble when put together.
60275812,"Kallax. I've had all sizes of the Kallax storage units.  I've combined them, in all sizes, like a puzzle to fill a whole wall.  Be sure to tether if you do that.  They fit most decorative styles.  "
39442686,"Beautiful. This might be my favorite piece in my office. I’ve used the bottom cubes for storage bins, the top cubes for display cases, and the top shelf for books and plants. It is being used as a divider to section off a large room and it’s the perfect piece for the space."
80487813,"The unit is working well. The unit is working well in my kitchen. Assembly was okay and it looks good in the location I chose for it. I wish the shelves had the option to be adjustable, but that's not a huge deal."
80275887,Baggebo. Looks amazing in my bedroom .
50481172,"A Staple!. I got 2 of these shelves and adore them. They're stable, sturdy, and easy to put together by yourself. I would also imagine they're easy to paint over for a different look. I would buy another!  One tip for assembly is to just lightly hand screw everything in before tightening them all the way in the final step! Otherwise, sometimes the holes don't align properly :)"
90428842,"Cute but not easy!. These cubes are very cute and practical but the fact that Ikea sells them as easy to assemble baffles the mind. I have done several of these at this point and there hasn't been a single one that hasn't required some light hammering (which risks ruining the board) or basically me just accepting that one of the sides will be slightly off-kilter. Every single product I have bought from Ikea that required actual tools to assemble (including a kitchen cabinet!) has been easier to assemble in comparison/proportionately speaking. Like I said, they are cute though, and a practical solution for some awkward storage needs around the house, so it's a good bang for the buck as long as you take the video on the website with a grain of salt."
60275812,Record storage. Works great for what we bought it for
70286645,Nifty accessory. This works beautifully in the Kallax. It is a lot more sturdy and natural looking when it’s installed in the unit. It looks like it was built that way — almost seamless so to speak.
30275861,"an organizational workhorse. the Kallax holds books, papers, artifacts...the list is too long to mention. It is at once classic and contemporary, the shelves are strong and don't sag, no matter how full and heavy. It can be infinitely re-imagined. It has a substantial presence but not heavy looking, always stylish with clean lines that never go out of style."
80487813,Easy assembly. This was perfect for my need: a closet shelf for towels and misc stuff. I did not need to secure it to wall. Sparks joy!
80487813,Easy to put together but flimsy. I ended up returning because I purchased the tall version and needed the short. I’m an IKEA evangelist but I’d say this is probably twice as expensive as it should be. It’s easy to put together but seems very flimsy. I didn’t end up buying the shorter one.
30275861,Love. Love these cubby holes to help keep things organized
09481684,"Love it!. I made this desk in 45 min. It was extremely easy to build with the instructions. Just make sure you don’t miss a step! And I was able to do it all by myself. Had it built before my husband got home 🤣 and I loved the packaging, it was minimal but efficient. So we didn’t have boxes for days!"
80487813,"Poorly-aligned holes in uprights made for a miserable assembly experience.. You'd think that drilling holes down the center of a strip of wood would be relatively easy for a manufacturer to do well -- but this shelving unit shows that IKEA is not up to the task. The holes in the uprights were sometimes centered and sometimes not, and in one case this required a bit of home woodworking (using far more in the way of tools than came in the boxes) to correct. If the price were half of what it is, I might not gripe too much -- but for this price, it's completely inexcusable for IKEA's factory to be so incredibly sloppy. It's also important to note that these shelves look to be solid slabs in the product photos, but are actually made of thin sheets of metal wrapped into square tubes at the front and back -- this means that they sag when weight is put anywhere other than the ends, front, or back of the shelves."
20275814,Easy assembly and looks great!. Easy assembly and looks great!
40409935,Great Storage piece . This shelf is the perfect storage piece and looks great in my space.
20409936,Easy assembly and great storage . I have Purchased kallax multiple times since IKEA came to Canton. 
20275885,"Versatile . I love these Kallax furniture pieces, they’re super versatile, you can use the as a book case, as drawers for your clothes, as a storage organizer, as a display, or even a TV stand! We have five and rotate them for different uses!"
49285817,Great use of space. . Excellent storage.
80275887,"awesome product. I  love the ease of putting it together, it looks cool too and I would say Awesome product in a very reasonable price. Now I have almost 5 of these . Thank you"
50481172,"Baggebo shelf. My teen loves this shelf! We have had Kallax for storage in his room a long time, but he has been asking for shelving to display smaller items. I saw the Baggebo in store and knew he would love it. He did and put two together himself and arranged his favorite things just the way he wanted. This was a perfect solution at a price we could afford."
70301542,Perfect for vinyl record storage. Must mount it though. This is perfect for my album collection. I used metal wall anchors from the hardware store to mount all four corners to the wall. I have about 900 vinyl albums and this holds them perfectly. As always follow the directions. Assembling on a carpet using a level are important. I also added wood glue to all the dowels so they stay solid. 
40334558,Made a cute little table . Added the legs and it’s a cute little side table in my son’s room. Perfect height for his low chair. He’s 8. 
70483274,Very hard to put together . There are a lot of defective problems. It's very hard to put together.
49481700,Perfect for my crafting space. Perfect for my crafting space
40346924,"Great Kallax Storage. Great Coloring, easy to assemble and gives wonderful storage!"
20275885,"Bought two. Love this. I bought two of them, turned them on their side and stacked them.  Looks great, really sturdy."
80275887,Just what I was looking for. Purchased to create a closet island for my newly renovated walk-in closet.
20454504,"Excellent small storage space. Great small piece of furniture on wheels.  Easy to assemble.  In one room it’s a plant stand with space for indoor gardening gadgets.  In another it’s a night table.  Love it so much, I bought a second one. "
40501892,Love it!. I love this stand for my Kallax shelf. It lifts it off of the floor and makes it look so much better. It’s very sturdy and easy to assemble. I going to buy more for my other rooms.
70301537,Perfect for my Scrapbooking organizing. I love the space I have with the larger cubbies! So many different ways to organize and so many options! I’m very pleased with this unit!
89442641,Great and Versatile Bookshelf . Bought these for my home office and they look great.  They were easy to put together and because of their size I can move them around as needed. 
90495695,"Huge Disappointment!!! Doesn't fit- too large!!. Very disappointed with these - they don't fit.  I picked these up with some other items in Renton yesterday - a 110 mile drive from me. Got home with them and they don't fit - they are too large to insert into the cubicle.  I have 2 different Kallax units - one is a 20 cubicle unit, the other an 8 cubicle unit - these will not fit into any cubicle in either of the units!!!  According to the sticker on these inserts they were manufactured (?) in Poland 2021-11-08. I saw another reviewer say that theirs were too big too. What happened to quality control??? I don't make a drive that far on a regular basis so, I'm stuck with the useless things since I won't pay shipping to return them.  Shouldn't have happened - very disappointed."
90495695,Doesn’t fit the kallax shelf. I purchased it thinking it would fit in the shelf like the reviews and description said but it don’t. It too big for the shelf space and annoying trying to fit. Easy to put together but useless because I can’t fit it in the shelf just sitting in my home collecting dust
70301537,Gift to Myself . I love it!I can put books and my fave things in it.
70301537,"Perfect storage. I have two of these, one in my classroom, the other in my closet. The Drona squares fit perfectly, but so do baskets and other storage as needed."
70301537,Wonderful storage. This is a wonderful piece of furniture for any sewing studio or craft room.   I use my Kallax units for storing fabrics wrapped around comic book boards. It’s deep enough for two rows of fabric in each cubby. I use the dröna fabric baskets in my Kallax to store quilting kits and fabric stabilizers.   I’d highly recommend the Kallax in any size!
70339291,"Great shelf for books & small TV. This works perfectly for books, baskets, and a smaller TV on the top shelf in a bedroom. Was easy to assemble."
59902658,"Great Product, But Disappointed. This shelving unit is absolutely beautiful and did not seem difficult to assemble - I hired a worker from Task Rabbit so I don't know for sure. However, I was so disappointed to find out that this particular item is just two units, one double width and a single width, put very close together. It is not one big unit. With so many combinations you can make from these units, I have no idea why this is the only one that is sold together, it's very misleading. I also had mine delivered so didn't realize until I had them in my home. I decided to return the single width unit and buy another double width one."
59902658,"elegant and sturdy storage solution. I already had three of the single shelves, and when I bought my house I added these additional pieces to make a full wall for books. It almost looks built in, and it's a gorgeous focal point for my books and records."
59902658,"Love the low profile. I wouldn't have thought from the description that these metal shelves would have such a low profile, but after seeing them at a friends house I was sold.  They are solid and the glass definitely makes them easy on the eye. Would buy again!"
70339291,Love It. We bought theFajallbo shelving unit. We love it! It’s stylish and sturdy.
70301542,Nice product. I would love to see them add a way to secure them to each other on the sides but over all it looks great.
59902658,Quality and design. This book case is well made and easy to assemble. It also looks fantastic and elevates the space it's in. Highly recommended.
79294523,Beautiful Display Shelf. This shelf is perfect for our little bodycare boutique. Great price for the quality. Assembly is a little tricky if your not use to putting furniture together. OVERALL...love it! Thank you IKEA!
70301537,"Kallax. Love this unit, in fact I have several of them. If you have children, please anchor them. They are heavy and easy to put together."
59278307,Entryway storage . Bought this to store shoes and items at the front door entryway. Very functional and stylish. Hubby put it together quickly. 
00388633,Looks great with Havsta glass door cabinet. Great addition to the cabinet. We have 4 of these (using 2 on each side of glass door cabinet. Nice sturdy construction. Made with solid wood - not compressed particle board. All together with cabinet and 4 of these towers fills 12 foot wall great!
49481700,"Does the job . Got this for a study workstation, and it’s perfect. Fits the space, is pretty sturdy, and looks good."
59442628,Easy to assemble . Very easy to assemble good quality!
89294532,"great shelving units. I saw these in a photo and they looked like what I wanted. I ordered and could not be happier with them. They are sturdy, well built, look great and most of all very easy to assemble."
50305739,Glossy and great. The glossy white Kallax is one of those IKEA pieces that is such a great price point for how modern it feels. The 4 square version was easy to put together solo. And I paired it next to a larger one I bought years ago. This is a great extension that was in budget and looks seamless. Highly rec. and go glossy — it’s the best of all the colors
59278307,"Love it!. Clean lines, great configuration for my purposes"
09442720,"The Best for my Craft Room. I put this off for years but finally with an update of flooring was forced to organize my craft room.  I chose the Kallex to be the main form of storage and love the pieces I bought!  the 16 unit wall shelving piece plus the pieces to divide several of the areas for paper, and other supplies are perfect.  It was much quicker to install than I expected and now only after a couple of days, I realize how silly my procrastination actually was.  I should have done this years ago!!!  "
19442692,Worked perfectly for the storage. Worked perfectly for the storage closet
70286645,The best options. I was looking for something nice and elegant for my spa 🧖🏼‍♀️ and it really is how I wanted it
20213312,"Perfection. I waited MONTHS for Vittsjo to come back in stock, and I am so glad I didn't give up and purchase something elsewhere. To get a similar look elsewhere will cost ~$300. This shelf unit is GORGEOUS – modern, clean lines, simple, well-constructed, sturdy. I do wish the holes in the top and bottom wood slabs were pre-drilled, but it wasn't too difficult to do it ourselves. We also didn't receive enough padding stickers for the glass, so we improvised. I can't say enough good things about this unit otherwise."
89294532,"Awesome shelves. We use these for plants, books, games and display items. They’re so versatile and surprisingly sturdy. Love how the light can flow down through the shelves"
50481172,Great but.... The shelf is great. Bought it to use for bathroom storage and it fits perfectly. I took off one star because it was way to hard to assemble. Would have been great if Ikea had made the screws for adult sized hands!
90286649,"Easy to assemble. And hold. Easy to assemble. And hold more than I expected. Turned an 11 year old shelf into something new with the drawers.  Please note - you do have to screw in the insert, so they are permanent."
80334603,"NOT difficult to assemble!. Lots of reviews saying these are difficult to assemble. They are not. You just have to follow the instruction of leaving the panel labelled “1” on the bottom throughout the entire assembly. The groove in panel one is significantly deeper than the grooves in the other panels. This allows the piece that slides in the back to sit lower so that you’re able to pop in the last panel without any resistance. Again, just leave the panel labeled “1” on the floor (or table if you’re assembling on a table surface) and you should be fine.  **I did struggle until I realized my mistake. Once I figured out that I wasn’t following the instructions properly, these cubes assembled in about a minute and a half. "
60333954,"Good size for my needs. Easy to assemble!!!. I bought two white Ekets 2 x 2 as the size was good for my needs. When I was reading the reviews, I was in a doubt if I can assemble it myself properly. Luckily, I found on Youtube a video instruction, how to do it ""ikea eket instruction part 2"". I even didn't use the paper instruction. Both pieces were assembled perfectly!!! Thank you Ikea and the person who did these video instructions."
20454504,Mr bub . My husband loves this little cart
60333954,"Don’t give up like I almost did!!!. Writing this review to help people who had trouble like me. I spent over an hour trying to align the pieces to fit, I even searched for tutorials on YouTube, and couldn’t find one for this specific model. Was very frustrated and was about to send all 4 of my Eket back to where they come from.   I took them apart and I realized the fault is not the product, it’s in the instructions. All the side boards should be numbered from 1-4, not just the first board. Essentially you would connect number one first with the sides and the pieces inside, and at the VERY END, the last piece should be the board opposite from number 1. If your last piece is the ones on the side of number 1, you will never get it to align. It took me less than 5 minutes to finish each one doing it this way, which is to follow the pictures to a tee. But Ikea should modify the instructions to be more specific and fool proof and number each side boards.   It looks beautiful and perfectly aligned when done!"
19442654,easy to assemble.. looks great
50334591,Basic storage gets the job done. Cubes give lots of configuration options. Seem like good quality and easy to assemble. 
90286649,I love these drawers. Adding the drawers made the shelves more organized. I love the look it gives to the unit and it was so easy to put together.
60275812,Looks so much better. This looks so much better than the old bookcase we were using.
10409932,Love it. Makes my sewing room very organized
70286645,So awesome. The drawers slide smooth and it looks great in my Kallax
00415599,It’s good quality and perfect. It’s good quality and perfect for what I needed.
49442676,Perfect fit!. I bought this as a tv stand for the guest room. I added storage cubes below and put books and a few other decorative items on the top row. The additional stand was a great addition to give it a nice touch.
49189203,"Putting together was a pain. Its so difficult to put together for something that's just supposed to ""snap together"". the plastic attachment grooves on the sides don't work nor fit together perfectly so a part of the sides don't lay flat with each other. Had to literally use a rubber mallet to force things to fit better. And even then they didn't line up correctly. Only reason I'm giving 3 stars is bc the assembly was the only problem I've had with it everything else was fine I guess.. "
40311873,"Is exactly what you expect . It’s fine, a bit expensive, but functional"
90286649,Great product. These drawers are much nicer than expected.  They went together relatively easy and having the metal bearing slides make them very smooth in operation.  I even bought another set.
80487813,Missing the frame….. I bought this shelf 2 weeks ago. I tried to set it up today and figured out the frame part was missing. Is this shelf including 2 parts? So upset about it. ☹️
40423719,Perfect for puzzles. I use the Kallax shelf to organize my child’s play area and this insert is absolutely perfect for storing all of her wooden puzzles! 
00275848,Kallax single row. Ordered the Kallax single row. It a great way to store vinyls. Regular size vinyls fit perfectly. Putting unit together was easy and quick. Very satisfied with purchase. Would highly recommend. 
60275812,"My new favorite IKEA furniture. This thing is great!  It's super easy to put together, and thanks to the various inserts it's also a very versatile piece of shelving.  I added the pedestal on the bottom so that I could place it over an air conditioning vent."
60275812,Perfect size. Purchased to clean up a corner that I wa using for storage. Looks and works great
60275812,Easy. Simple to build simple to use very sturdy absolutely love extra storage
60324520,"It serves a purpose. It serves a purpose for storage, but i think the materials are too cheap. When we were putting together our KALLAX cubes, it didn’t line up perfectly despite our careful attention to building instructions. Now the shelves don’t shut correctly and it bothers me for the price and time spent trying to build it. There’s just something not right about the way the material looks and feels. It looked better online than in person. Not satisfied sadly "
90495695,"Needs sanding. This would not fit my kallax shelves properly and I needed to sand down two sides to make it fit, but otherwise it’s great!"
50454507,"Rolling Shelf Unit. Love the small and very well made rolling shelf to store things in my craft room! Easy to put together, too!"
10409932,Perfect for organization. Bought this item to organize my twins’ toys. Setup was a breeze. Purchase two sets of drawer inserts as well. Looks amazing in our playroom. Definitely recommend.
40423719,Paper storage. This is a great insert- perfect for storing cardstock inside the kallax units. 
50305739,Installed in closet. These are really nice and durable in closet
80275887,"Hacked the Use. Instead of purchasing a closet system, I used two of the Kallax units to rework a walk in closet. Standing, this particular configuration fits under the existing hanging clothes rack. I place a second Kallax on the other wall in a horizontal position. I can now hang cloths, neatly arrange folded sweaters and jeans, and have more room than ever before."
00314642,"Cheaply made, Flimsy. These used to be made much better. They are terrible now. I wrote another review under the inserts with the doors that goes into more detail, but essentially, these used to be decent, but now they are little more than cardboard, with a laminated particleboard front. Very disappointing."
70286645,"Terrible quality. I have an older Kallax shelf with several drawer units. The drawer enclosures are made from actual wood. These pieces of garbage barely qualify as cardboard. They are flimsy and arrived RIPPED. And i now realize I am writing a review using the word ""ripped"" when describing a drawer enclosure."
00314642,"So disappointing!. We bought this newer version of the Kallax, after having owned the older version (c. 90s-2000s.) This was very, very disappointing. Extremely cheaply made. Would never hold up to continued regular use. We were expecting the same quality we used to get from Ikea products. This is not anywhere near the quality of the Ikea products we used to purchase!"
70286645,Units are great but all arrived damaged. Units are great but all arrived damaged and I do not have a local Ikea store to return them to. 
70301542,"Space saving, beautiful. Used this to replace a dresser in a small house, wish we saw it sooner! Able to organize and save space! Still have ample room on it for more. The doors and drawers are fantastic.  Easy to put together , Even for this old person!"
50339292,"Awesome. It is good quality, and not tightening all the bolts in the assembly, makes making mistakes so much easier to take apart"
70332124,Beware. Doesn't come with mounting brackets and didn't find out until I got home. Mounting brackets are not available anywhere either.
90428842,impossible to assembly. This is one of the only products I have bought at IKEA in over 20 years that I had to return. I just couldn't get the joints to be clean as pictured.
20510864,"Impossible to assemble. These are really nice looking, but were impossible to put together. The peg holes weren't machined enough to fit the pegs properly. We returned them."
90428842,cant assemble. awful
70332124,Impossible to assemble as instructions. Impossible to assemble as instructions show. Looks horrible from corner/ends. Wasted of money and time
60221683,Excellent . Big space 
70286645,"I had the old ones that were made of solid materia.. This new design is awful unfortunately. It’s flimsy, and requires you to make holes and damage the bookcase. Wish I could return it. Disappointing"
59552914,"Frame needs to be attached to unit. So disappointed in this--you just set the shelving unit on top of the underframe, which means it just wobbles around.  There needs to be a way to attach the frame to the shelving. "
80275887,"Unbelievably Cheap. I know IKEA is the place to buy affordable furniture. We purchased one of these for our young daughter years ago (maybe 2015 or 2016), and it has held up to her, her friends, and one across the country. We just bought another one for a closet, but this time, the quality is significantly lesser. I don't know if the shelves are made of foam, or what, but they are so light that they float/glide across each other when stacking. I'd estimate that each shelf weighs less than a ream of paper. We're desperate and we live far away from an IKEA so we'll keep it, but honestly, it is just so cheap I don't know if I'll go back for the 4 shelf Kallax that is delayed due to quality issues (according to the salesperson). This can't possibly be good for the environment."
10487816,Impossible to assemble. This would have been a nifty little shelf if only one could assemble it. Holes of uneven size and not deep enough for screws or dowels to fit or be tightened properly. The pieces that I put together kept falling apart so it was impossible to build because one couldn't get the frame to stay put long enough to attach the shelves.
40423719,Kallax accessories . Helped me organize my craft papers 
40423719,"Love it. I use it to hold things think they are tiny drawers. I craft so it holds my paper cutters, stamp positioner, and anything large that needs to be stored flats"
40423719,"Paper storage. I like stacking my papers vertically, it's perfect. The unit does  take up some space on 2 sides of the cube, I use job tickets/dry erase folders for my paper projects, they are 13"" tall so don't fit in these, but 12X12 papers fit perfectly."
90495695,"Tight fit, but great for shoes. I knocked off a star due to how difficult it was to get them inserted into an already built Kallax unit. I would recommend inserting at time of Kallax build, before final tightening of all the bolts. That said, they are great for dividing the squares on the Kallax. I have a 4x4 square unit in my closet and installed four of these along the bottom row. It allows me to neatly store 4 pairs of shoes in each Kallax square."
40423719,Hobby Supplies Storage. It’s not easy finding storage that is deep enough for my 12x 12 scrapbook paper. Kallax fits it perfectly! And the various inserts make each cube customizable for other items I need to store for my hobbies.
40423719,Just what I was looking for!. I love my Kallax layered shelves. They fit perfectly in my shelving unit. They were so easy to put together without any tools. I use them to stack cardstock in my craft room. I couldn’t be happier. I need to buy more!
40423719,"Great slots. This worked really well for the purpose I had. Plenty sturdy enough for folders, little piles of papers and such."
69442642,Kallax. So sad not to have my Expedit as an option. These are ok but the others were far superior (I had them over a decade and 3 major moves). My recommendation is based sadly on the fact that there is no longer the previous version. The base is a good option to have however it is waaay too tall.
90286649,"Well designed, easy to install. Very versatile piece of furniture.  These drawer inserts are easy to put together and install.  A little bit of wood glue on the dowels and in the slots helps make these drawers just that much sturdier"
70286645,Great Product. Great Product
30530574,"Eket cube. They don’t go together as easily as they should. Plastic tabs broke off easily on 2 of the 8 I purchased.  On the other hand, super easy to mount straight on the wall. "
20275885,fabulous. This holds records and 3 ring binders gorgeously. So love the options for it too.
00334536,"Easy Assembly / Great for Vinyl or Other Shelving. Didn't take me long to put these together (I ordered two for giving myself room to expand my ever-growing vinyl collection). Very little tools needed for assembling, and it's great for why I need it. A little tricky getting everything to line up, but once you do, it just pretty much slides into place and is very sturdy."
30495599,Excellent add on to kallax. Excellent add on to kallax products
